Rank,Sourceid,Title,Type,Issn,SJR,SJR Quartile,H index,Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,Country,Region,Publisher,Coverage,Categories,Year
138,4900152703,Springer Tracts in Advanced Robotics,book series,"16107438, 1610742X",0.357,Q3,50,461,5176,463,278,1.04,22.03,Germany,Western Europe,Springer Verlag,2004-2021,Electrical and Electronic Engineering (Q2); Artificial Intelligence (Q3),2016
143,24777,Minds and Machines,journal,"09246495, 15728641",0.345,Q3,44,69,1013,54,67,0.58,42.21,Netherlands,Western Europe,Springer Netherlands,1991-2021,Philosophy (Q1); Artificial Intelligence (Q3),2016
144,144749,International Journal of Advanced Robotic Systems,journal,17298806,0.344,Q3,51,773,7628,1169,765,1.39,29.45,United States,Northern America,SAGE Publications Inc.,2004-2021,Artificial Intelligence (Q3); Computer Science Applications (Q3); Software (Q3),2016
152,14500154734,Evolutionary Intelligence,journal,"18645917, 18645909",0.323,Q3,26,47,545,81,40,1.87,34.06,Germany,Western Europe,Springer Verlag,2008-2021,Computer Vision and Pattern Recognition (Q2); Artificial Intelligence (Q3); Mathematics (miscellaneous) (Q3); Cognitive Neuroscience (Q4),2016
154,24310,International Journal of Pattern Recognition and Artificial Intelligence,journal,02180014,0.319,Q3,57,263,3665,295,261,1.24,32.72,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,1995-2021,Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Software (Q3),2016
156,24142,Artificial Life,journal,"10645462, 15309185",0.317,Q3,57,86,1045,124,82,1.5,38.7,United States,Northern America,MIT Press Journals,"1995, 1997-2021","Artificial Intelligence (Q3); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q3)",2016
158,24185,Expert Systems,journal,"14680394, 02664720",0.309,Q3,41,139,2027,208,128,1.63,46.07,United Kingdom,Western Europe,Wiley-Blackwell Publishing Ltd,1984-2021,Artificial Intelligence (Q3); Computational Theory and Mathematics (Q3); Control and Systems Engineering (Q3); Theoretical Computer Science (Q3),2016
161,21100218522,Biologically Inspired Cognitive Architectures,journal,2212683X,0.302,Q3,21,121,1931,123,117,0.91,49.51,Netherlands,Western Europe,Elsevier BV,2012-2018,Artificial Intelligence (Q3); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4),2016
162,23617,AI Communications,journal,09217126,0.301,Q3,40,111,1879,92,106,0.74,31.85,Netherlands,Western Europe,IOS Press BV,1987-2021,Artificial Intelligence (Q3),2016
163,28380,Natural Language Engineering,journal,"14698110, 13513249",0.301,Q3,57,66,1635,146,64,2.46,44.19,United Kingdom,Western Europe,Cambridge University Press,1995-2021,Linguistics and Language (Q2); Artificial Intelligence (Q3); Software (Q3),2016
167,24449,Kybernetika,journal,"00235954, 1805949X",0.296,Q3,38,189,1332,125,185,0.54,24.67,Czech Republic,Eastern Europe,Academy of Sciences of the Czech Republic,"1972-1989, 1996-2021",Electrical and Electronic Engineering (Q2); Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Information Systems (Q3); Software (Q3); Theoretical Computer Science (Q4),2016
171,25482,International Journal of Robotics and Automation,journal,"19257090, 08268185",0.292,Q3,26,137,1449,103,136,0.74,24.98,Canada,Northern America,ACTA Press,1995-2021,Electrical and Electronic Engineering (Q2); Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Mechanical Engineering (Q3); Modeling and Simulation (Q3); Software (Q3),2016
175,24173,Connection Science,journal,"13600494, 09540091",0.286,Q3,44,62,976,81,55,1.12,42.43,United Kingdom,Western Europe,Taylor and Francis AS,1989-2021,Artificial Intelligence (Q3); Human-Computer Interaction (Q3); Software (Q3),2016
182,19700175219,Iranian Journal of Fuzzy Systems,journal,17350654,0.278,Q3,32,158,1973,118,158,0.68,31.32,Iran,Middle East,University of Sistan and Baluchestan,2004-2021,Information Systems and Management (Q2); Artificial Intelligence (Q3); Computer Science Applications (Q3); Mathematics (miscellaneous) (Q3),2016
188,23673,Applied Artificial Intelligence,journal,"10876545, 08839514",0.27,Q3,59,135,1484,130,134,0.78,31.57,United Kingdom,Western Europe,Taylor and Francis Ltd.,1987-2021,Artificial Intelligence (Q3),2016
190,18056,Jiqiren/Robot,journal,10020446,0.268,Q3,27,293,1735,274,293,1.03,18.86,China,Asiatic Region,Chinese Academy of Sciences,"1998, 2001-2021",Artificial Intelligence (Q3); Electrical and Electronic Engineering (Q3); Mechanical Engineering (Q3); Modeling and Simulation (Q3); Software (Q3); Applied Mathematics (Q4),2016
198,21100464776,"Statistics, Optimization and Information Computing",journal,"23105070, 2311004X",0.255,Q3,15,72,744,40,72,0.55,27.56,United States,Northern America,International Academic Press,2013-2021,"Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Information Systems (Q3); Signal Processing (Q3); Control and Optimization (Q4); Statistics and Probability (Q4); Statistics, Probability and Uncertainty (Q4)",2016
200,19700174602,Cognitive Technologies,book series,16112482,0.251,Q3,15,113,0,34,38,0.27,0.0,Germany,Western Europe,Springer Verlag,"2006-2015, 2017-2018, 2020-2021",Artificial Intelligence (Q3); Software (Q3),2016
203,79015,Kongzhi yu Juece/Control and Decision,journal,10010920,0.249,Q3,45,1090,6607,828,1090,0.73,18.93,China,Asiatic Region,Northeast University,1997-2021,Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Software (Q3); Control and Optimization (Q4),2016
204,12981,Kybernetes,journal,0368492X,0.249,Q3,43,300,3919,316,298,1.1,38.8,United Kingdom,Western Europe,Emerald Group Publishing Ltd.,1972-2021,Computer Science (miscellaneous) (Q2); Engineering (miscellaneous) (Q2); Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Electrical and Electronic Engineering (Q3); Information Systems (Q3); Social Sciences (miscellaneous) (Q3); Software (Q3); Theoretical Computer Science (Q4),2016
206,25476,Intelligent Automation and Soft Computing,journal,"10798587, 2326005X",0.247,Q3,28,157,2081,130,151,0.66,28.9,United States,Northern America,Tech Science Press,1995-2022,Artificial Intelligence (Q3); Software (Q3); Computational Theory and Mathematics (Q4); Theoretical Computer Science (Q4),2016
207,19700186872,International Journal of Cognitive Informatics and Natural Intelligence,journal,"15573958, 15573966",0.247,Q3,24,63,634,63,61,0.68,37.29,United States,Northern America,IGI Global Publishing,2007-2021,Artificial Intelligence (Q3); Human-Computer Interaction (Q3); Software (Q3),2016
210,19700181256,Constructivist Foundations,journal,1782348X,0.244,-,19,315,2582,108,102,0.33,16.45,Belgium,Western Europe,Vrije Universiteit Brussel,2010-2021,History and Philosophy of Science (Q2); Philosophy (Q2); Education (Q3); Cognitive Neuroscience (Q4),2016
227,19700166503,Journal of Advanced Computational Intelligence and Intelligent Informatics,journal,"13430130, 18838014",0.226,Q3,21,329,2733,224,329,0.77,20.86,Japan,Asiatic Region,Fuji Technology Press,2009-2021,Artificial Intelligence (Q3); Computer Vision and Pattern Recognition (Q3); Human-Computer Interaction (Q3),2016
229,15552,Microprocessors and Microsystems,journal,01419331,0.225,Q3,41,321,5160,398,302,1.32,31.27,Netherlands,Western Europe,Elsevier,1978-2021,Artificial Intelligence (Q3); Computer Networks and Communications (Q3); Hardware and Architecture (Q3); Software (Q4),2016
230,21100826286,Fuzzy Information and Engineering,journal,"16168658, 16168666",0.224,Q3,18,62,844,51,62,0.82,28.13,United Kingdom,Western Europe,,2014-2021,Artificial Intelligence (Q3); Control and Systems Engineering (Q3); Industrial and Manufacturing Engineering (Q3); Information Systems (Q3); Applied Mathematics (Q4); Logic (Q4); Management Science and Operations Research (Q4); Theoretical Computer Science (Q4),2016
235,4900152708,Studies in Computational Intelligence,book series,"18609503, 1860949X",0.219,Q3,73,2924,26289,2440,2684,0.97,29.41,Germany,Western Europe,Springer Verlag,2006-2022,Artificial Intelligence (Q3),2016
242,19900192586,International Journal of Bio-Science and Bio-Technology (discontinued),journal,22337849,0.212,Q3,19,415,3996,223,406,0.39,21.6,Australia,Pacific Region,Science and Engineering Research Support Society,2009-2016,Artificial Intelligence (Q3); Bioengineering (Q4); Biomedical Engineering (Q4); Biotechnology (Q4),2016
255,19500157321,Frontiers in Artificial Intelligence and Applications,book series,"15356698, 09226389",0.202,Q3,54,1584,13560,834,1534,0.57,18.47,Netherlands,Western Europe,IOS Press BV,2004-2021,Artificial Intelligence (Q3),2016
266,4700152645,International Journal on Artificial Intelligence Tools,journal,02182130,0.199,Q3,33,187,2191,146,175,0.86,35.34,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,2005-2021,Artificial Intelligence (Q3),2016
270,21100824892,"Law, Innovation and Technology",journal,"1757997X, 17579961",0.198,Q4,17,34,42,39,21,0.78,5.25,United Kingdom,Western Europe,Taylor and Francis Ltd.,2009-2021,Computer Science (miscellaneous) (Q3); Law (Q3); Artificial Intelligence (Q4); Biotechnology (Q4); Computer Science Applications (Q4),2016
272,21100255064,Mendel,journal,18033814,0.196,-,13,182,693,65,180,0.43,14.44,Czech Republic,Eastern Europe,Brno University of Technology,"2005-2007, 2009-2021",Computer Science (miscellaneous) (Q3); Computational Mathematics (Q4); Theoretical Computer Science (Q4),2016
283,21100853738,ROBOMECH Journal,journal,21974225,0.192,Q4,15,39,620,56,39,1.44,22.14,Switzerland,Western Europe,Springer International Publishing AG,2014-2021,Mechanical Engineering (Q3); Artificial Intelligence (Q4); Control and Optimization (Q4); Instrumentation (Q4); Modeling and Simulation (Q4),2016
297,15109,IEICE Transactions on Information and Systems,journal,"17451361, 09168532",0.186,Q4,50,1108,8309,585,1077,0.53,20.93,Japan,Asiatic Region,"Maruzen Co., Ltd/Maruzen Kabushikikaisha",1993-2021,Electrical and Electronic Engineering (Q3); Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Hardware and Architecture (Q4); Software (Q4),2016
302,23616,AI and Society,journal,"09515666, 14355655",0.185,Q4,33,161,1957,98,149,0.73,36.92,United Kingdom,Western Europe,Springer London,"1987-1996, 1998-2021",Philosophy (Q2); Artificial Intelligence (Q4); Human-Computer Interaction (Q4),2016
309,19270,International Journal of Software Engineering and Knowledge Engineering,journal,02181940,0.182,Q4,36,219,2309,140,206,0.45,33.46,Singapore,Asiatic Region,World Scientific Publishing Co. Pte Ltd,1996-2021,Computer Networks and Communications (Q3); Artificial Intelligence (Q4); Computer Graphics and Computer-Aided Design (Q4); Software (Q4),2016
317,24258,Inteligencia Artificial,journal,11373601,0.179,Q4,13,38,404,9,36,0.19,28.86,Spain,Western Europe,Asociacion Espanola de Inteligencia Artificial,"2004-2010, 2012-2021",Artificial Intelligence (Q4); Software (Q4),2016
319,5000153105,Understanding Complex Systems,book series,18600840,0.179,Q4,32,333,4520,135,273,0.36,43.05,Germany,Western Europe,Springer Verlag,2006-2021,Artificial Intelligence (Q4); Computational Mechanics (Q4); Software (Q4),2016
327,12962,Journal of Intelligent Systems,journal,"03341860, 2191026X",0.177,Q4,21,110,997,45,107,0.47,30.21,Germany,Western Europe,Walter de Gruyter GmbH,"1991-2002, 2004-2021",Artificial Intelligence (Q4); Information Systems (Q4); Software (Q4),2016
334,21100411629,Web Intelligence,journal,"24056464, 24056456",0.176,Q4,24,69,941,31,66,0.36,42.77,Netherlands,Western Europe,IOS Press BV,2015-2020,Computer Networks and Communications (Q3); Artificial Intelligence (Q4); Software (Q4),2016
343,24802,Neural Network World,journal,"23364335, 12100552",0.174,Q4,27,105,1098,60,100,0.52,31.37,Czech Republic,Eastern Europe,Czech Technical University in Prague,1994-2021,Artificial Intelligence (Q4); Hardware and Architecture (Q4); Neuroscience (miscellaneous) (Q4); Software (Q4),2016
351,11700154336,Journal of Computer Science,journal,15493636,0.172,Q4,31,617,1874,352,616,0.45,31.76,United States,Northern America,Science Publications,2008-2021,Artificial Intelligence (Q4); Computer Networks and Communications (Q4); Software (Q4),2016
365,27190,Machine Translation,journal,"09226567, 15730573",0.165,Q4,31,35,254,45,33,1.57,28.22,Netherlands,Western Europe,Springer Netherlands,1989-2021,Linguistics and Language (Q2); Artificial Intelligence (Q4); Software (Q4),2016
374,19700186824,Journal of Software (discontinued),journal,1796217X,0.163,Q4,32,490,0,258,488,0.71,0.0,Finland,Western Europe,Academy Publisher,2006-2014,Artificial Intelligence (Q4); Human-Computer Interaction (Q4); Software (Q4),2016
379,21100294000,Information and Control,journal,10020411,0.162,Q4,9,275,2047,100,275,0.38,22.25,China,Asiatic Region,Science Press,2013-2019,Artificial Intelligence (Q4); Computer Science Applications (Q4); Control and Optimization (Q4); Control and Systems Engineering (Q4); Human-Computer Interaction (Q4); Information Systems (Q4),2016
394,19900193685,International Journal of Knowledge-Based and Intelligent Engineering Systems,journal,"13272314, 18758827",0.158,Q4,20,71,954,39,71,0.49,38.16,Netherlands,Western Europe,IOS Press BV,2004-2021,Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Software (Q4),2016
395,18800156718,Journal of Artificial Intelligence (discontinued),journal,"19945450, 20772173",0.158,Q4,13,51,181,33,51,0.95,16.45,Pakistan,Asiatic Region,Asian Network for Scientific Information,2009-2018,Artificial Intelligence (Q4); Software (Q4),2016
399,21100380994,Lecture Notes in Computational Vision and Biomechanics,book series,"22129391, 22129413",0.157,Q4,16,273,567,127,200,0.45,47.25,Switzerland,Western Europe,Springer International Publishing AG,2012-2020,Artificial Intelligence (Q4); Biomedical Engineering (Q4); Computer Science Applications (Q4); Computer Vision and Pattern Recognition (Q4); Mechanical Engineering (Q4); Signal Processing (Q4),2016
412,17700155820,WSEAS Transactions on Systems and Control,journal,"22242856, 19918763",0.154,Q4,18,134,48,79,134,0.54,24.0,Greece,Western Europe,World Scientific and Engineering Academy and Society,2008-2021,Artificial Intelligence (Q4); Control and Systems Engineering (Q4); Mathematics (miscellaneous) (Q4),2016
415,21100204931,Sistemi Intelligenti,journal,"11209550, 19738226",0.153,Q4,7,130,1128,17,119,0.12,34.18,Italy,Western Europe,Il Mulino publishing house,1997-2021,Linguistics and Language (Q3); Artificial Intelligence (Q4); Cognitive Neuroscience (Q4); Experimental and Cognitive Psychology (Q4),2016
424,144653,Artificial Life and Robotics,journal,14335298,0.15,Q4,21,178,1186,65,177,0.47,15.81,Japan,Asiatic Region,Springer Japan,2005-2021,"Artificial Intelligence (Q4); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q4)",2016
433,87936,Moshi Shibie yu Rengong Zhineng/Pattern Recognition and Artificial Intelligence,journal,10036059,0.148,Q4,23,434,2769,142,434,0.3,21.98,China,Asiatic Region,,2001-2021,Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Software (Q4),2016
443,21100826748,Biosystems and Biorobotics,book series,"21953570, 21953562",0.146,Q4,15,447,1903,134,175,0.38,38.06,Switzerland,Western Europe,Springer International Publishing AG,"2013-2020, 2022",Artificial Intelligence (Q4); Biomedical Engineering (Q4); Mechanical Engineering (Q4),2016
446,21100211724,Intelligent Decision Technologies,journal,"18724981, 18758843",0.146,Q4,15,83,1287,31,80,0.42,33.0,Netherlands,Western Europe,IOS Press BV,2007-2021,Artificial Intelligence (Q4); Computer Vision and Pattern Recognition (Q4); Human-Computer Interaction (Q4); Software (Q4),2016
447,19700186852,Journal of Multimedia (discontinued),journal,17962048,0.146,Q4,26,111,0,63,111,0.0,0.0,Finland,Western Europe,Academy Publisher,2006-2013,Media Technology (Q2); Artificial Intelligence (Q4); Electrical and Electronic Engineering (Q4),2016
